term,cat,formal,basically,hot,status,source,notes
Quantitative easing,finance,Large-scale central bank asset purchases intended to inject liquidity and suppress long-term interest rates.,The central bank prints money and buys stuff to keep the economy moving.,,live,human,
Inflation,finance,"A sustained increase in the general price level, eroding the purchasing power of a currency.",Your money buys less than it used to.,,live,human,
Recession,finance,"A significant, broad-based decline in economic activity, conventionally marked by two consecutive quarters of negative GDP growth.",The economy shrinks and everyone gets nervous.,,live,human,
Stagflation,finance,"The concurrence of economic stagnation and elevated inflation, resistant to conventional monetary remedies.",Prices go up AND the economy is stuck. Worst of both.,,live,human,
Short selling,finance,"The sale of borrowed securities in anticipation of repurchasing them at a lower price, profiting from the decline.",Betting money that a stock will go down.,,live,human,
ETF,finance,"Exchange-Traded Fund: a pooled investment vehicle holding a basket of assets, traded intraday on exchanges.",A bundle of stocks you buy in one click.,,live,human,
Compound interest,finance,Interest computed on both the initial principal and previously accumulated interest.,"Your money makes money, then THAT money makes money.",,live,human,
Liquidity,finance,The degree to which an asset can be converted to cash rapidly without materially affecting its price.,How fast you can turn a thing into cash without a fire sale.,,live,human,
Bond yield,finance,"The effective annual return on a debt security, inversely related to its market price.","What lending your money actually pays. When it jumps, someone's scared.",,live,human,
Fiduciary,finance,"A party legally obligated to act in the best interest of another, subordinating their own interests.",An advisor who is legally required to not screw you.,,live,human,
Arbitrage,finance,Simultaneous purchase and sale of equivalent assets across markets to exploit price discrepancies.,"Buy it where it's cheap, sell it where it's not. Free money, briefly.",,live,human,
Market capitalization,finance,The aggregate market value of a company's outstanding equity shares.,What the whole company costs at today's stock price.,,live,human,
Bear market,finance,"A prolonged decline of 20% or more from recent market highs, accompanied by pervasive pessimism.",Everything's down and everyone's sad.,,live,human,
Diversification,finance,Allocation of capital across uncorrelated assets to reduce exposure to idiosyncratic risk.,"Don't put all your eggs in one basket, with math.",,live,human,
Entropy,science,A thermodynamic quantity representing the number of microscopic configurations consistent with a system's macroscopic state; the tendency toward disorder.,"Everything falls apart on its own. Your room, the universe, all of it.",,live,human,
Quantum entanglement,science,"A phenomenon wherein the quantum states of particles remain correlated such that measurement of one instantaneously constrains the other, regardless of separation.","Two particles share one fate, even across the galaxy. Poke one, the other flinches.",,live,human,
CRISPR,science,Clustered Regularly Interspaced Short Palindromic Repeats: a bacterial adaptive immune mechanism repurposed for programmable genome editing.,Find-and-replace for DNA.,,live,human,
mRNA,science,Messenger ribonucleic acid: a transient transcript conveying genetic instructions from DNA to ribosomes for protein synthesis.,The recipe card your cells read to build stuff.,,live,human,
Black hole,science,A region of spacetime where gravitational curvature is sufficient to prevent the escape of electromagnetic radiation.,Gravity so strong even light can't leave. A cosmic no-refunds policy.,,live,human,
Dark matter,science,"A non-luminous form of matter inferred from gravitational effects on visible structures, comprising approximately 27% of the universe's mass-energy.","Invisible stuff holding galaxies together. We can't see it, we just see what it does.",,live,human,
Second law of thermodynamics,science,"In any spontaneous process, the total entropy of an isolated system does not decrease.","You can't win, you can't break even, and mess always increases.",,live,human,
Neuroplasticity,science,The capacity of neural circuits to reorganize structurally and functionally in response to experience.,Your brain rewires itself. Old dogs CAN learn new tricks.,,live,human,
Superconductor,science,A material exhibiting zero electrical resistance and magnetic flux expulsion below a critical temperature.,A wire with zero friction for electricity. Physicists' white whale at room temperature.,,live,human,
Microplastics,science,Plastic particulates smaller than five millimeters resulting from the degradation of consumer and industrial polymer products.,"Tiny plastic bits. They're in the ocean, the fish, and you.",,live,human,
Catalyst,science,A substance that increases the rate of a chemical reaction without undergoing permanent chemical change.,"Speeds up the reaction, walks away untouched. Chemistry's middleman.",,live,human,
Fissiparous,science,Reproducing by fission; inclined to break into separate parts or factions.,Tends to split apart.,Merriam-Webster lookup spike after World Cup commentators used it about teams falling apart.,live,human,
Exoplanet,science,"A planet orbiting a star other than the Sun, detected via transit photometry, radial velocity, or direct imaging.",A planet around someone else's sun.,,live,human,
Liquid cooling (your brain),science,"Cerebral thermoregulation via cerebrospinal fluid circulation and vascular heat exchange, maintaining the brain within a narrow thermal envelope.","Your brain is literally liquid cooled, like a gaming PC.","A 3,200-upvote ELI5 answer on why brains don't overheat but CPUs do.",live,human,
Rage bait,culture,"Content deliberately engineered to provoke anger, thereby maximizing engagement metrics through outrage-driven interaction.",Posts designed to make you mad so you'll comment.,Officially added to the dictionary this year.,live,human,
Aura farming,culture,The performative accumulation of social mystique through calculated displays of effortless composure.,Doing cool stuff just to look cool.,,live,human,
Rizz,culture,"Charisma, particularly as applied to romantic or flirtatious persuasion; derived from the middle syllable of 'charisma.'",Game. Charm. The ability to talk to your crush without crashing.,,live,human,
Mid,culture,An adjective denoting mediocrity; conspicuously average quality unworthy of enthusiasm or contempt.,"Aggressively okay. Not bad enough to hate, not good enough to care.",,live,human,
The ick,culture,"A sudden, irreversible onset of aversion toward a romantic interest, triggered by a specific observed behavior.",One tiny thing they did just killed the whole crush. Forever.,,live,human,
Delulu,culture,"Willfully delusional optimism maintained in defiance of contradicting evidence, often regarding aspirations or relationships.","Delusional, but as a lifestyle choice.",,live,human,
Brain rot,culture,"Perceived cognitive decline attributed to overconsumption of low-value, algorithmically-served short-form content.",What scrolling junk content all day does to you.,,live,human,
Doomscrolling,culture,Compulsive continued consumption of negative news content despite its adverse psychological effects.,Can't stop reading bad news at 2am.,,live,human,
Enshittification,culture,The progressive degradation of platform quality as value is reallocated from users to business customers and ultimately to shareholders.,Why every app gets worse after you start loving it.,,live,human,
Parasocial,culture,Pertaining to a one-sided psychological relationship wherein an audience member develops perceived intimacy with a media figure.,You feel like the streamer is your friend. They don't know you exist.,,live,human,
Kakistocracy,culture,Government by the least qualified or most unprincipled citizens.,Rule by the worst people available.,Topped Merriam-Webster's lookup charts this summer.,live,human,
Bed rot,culture,"Extended voluntary confinement to one's bed for passive leisure activities, framed as self-care.",Staying in bed all day on purpose and calling it wellness.,,live,human,
Touch grass,culture,An imperative suggesting the addressee disengage from online discourse and re-establish contact with physical reality.,Log off. Go outside. You've been online too long.,,live,human,
6-7,culture,"A semantically vacant meme expression of Gen Alpha origin, deployed as an in-group signal rather than for propositional content.",It means nothing. That's the joke. Schools banned it anyway.,So ubiquitous schools reportedly tried to ban it.,live,human,
Lowkenuinely,culture,"A portmanteau of 'lowkey' and 'genuinely,' expressing understated sincerity.","Quietly, but for real.",,live,human,
